Device: cuda  |  dtype: torch.float32
step  25800 | L_energy=-6.9233e-01 | lam=0.000 | lr=5.27e-04 | 1726.2s
step  26000 | L_energy=-6.3633e-01 | lam=0.000 | lr=5.22e-04 | 1739.5s
step  26200 | L_energy=-5.7356e-01 | lam=0.000 | lr=5.16e-04 | 1752.7s
step  26400 | L_energy=-5.7643e-01 | lam=0.000 | lr=5.10e-04 | 1766.0s
step  26600 | L_energy=-5.2211e-01 | lam=0.000 | lr=5.05e-04 | 1779.3s
step  26800 | L_energy=-6.7791e-01 | lam=0.000 | lr=4.99e-04 | 1792.6s
step  27000 | L_energy=-6.1152e-01 | lam=0.000 | lr=4.94e-04 | 1805.9s
step  27200 | L_energy=-3.4394e-01 | lam=0.000 | lr=4.88e-04 | 1819.2s
step  27400 | L_energy=-5.9051e-01 | lam=0.000 | lr=4.82e-04 | 1832.5s
step  27600 | L_energy=-4.3174e-01 | lam=0.000 | lr=4.77e-04 | 1845.8s
step  27800 | L_energy=-8.6688e-01 | lam=0.000 | lr=4.71e-04 | 1859.1s
step  28000 | L_energy=-5.9241e-01 | lam=0.000 | lr=4.66e-04 | 1872.4s
step  28200 | L_energy=-7.3482e-01 | lam=0.000 | lr=4.60e-04 | 1885.6s
step  28400 | L_energy=-6.8204e-01 | lam=0.000 | lr=4.55e-04 | 1898.9s
step  28600 | L_energy=-5.7436e-01 | lam=0.000 | lr=4.49e-04 | 1912.2s
step  28800 | L_energy=-4.8928e-01 | lam=0.000 | lr=4.44e-04 | 1925.5s
step  29000 | L_energy=-2.7272e-01 | lam=0.000 | lr=4.38e-04 | 1938.7s
step  29200 | L_energy=-6.7456e-01 | lam=0.000 | lr=4.33e-04 | 1952.0s
step  29400 | L_energy=-4.1024e-01 | lam=0.000 | lr=4.27e-04 | 1965.2s
step  29600 | L_energy=-3.4590e-01 | lam=0.000 | lr=4.22e-04 | 1978.5s
step  29800 | L_energy=-2.8442e-01 | lam=0.000 | lr=4.16e-04 | 1991.7s
step  30000 | L_energy=-7.8521e-01 | lam=0.000 | lr=4.11e-04 | 2004.9s
  → saved checkpoints/ckpt_step030000.pt
step  30200 | L_energy=-8.0428e-01 | lam=0.000 | lr=4.06e-04 | 2018.2s
step  30400 | L_energy=-5.8680e-01 | lam=0.000 | lr=4.00e-04 | 2031.4s
step  30600 | L_energy=-4.2719e-01 | lam=0.000 | lr=3.95e-04 | 2044.6s
step  30800 | L_energy=-5.5776e-01 | lam=0.000 | lr=3.90e-04 | 2057.8s
step  31000 | L_energy=-4.6005e-01 | lam=0.000 | lr=3.84e-04 | 2071.0s
step  31200 | L_energy=-7.5722e-01 | lam=0.000 | lr=3.79e-04 | 2084.3s
step  31400 | L_energy=-6.5619e-01 | lam=0.000 | lr=3.74e-04 | 2097.5s
step  31600 | L_energy=-6.2164e-01 | lam=0.000 | lr=3.69e-04 | 2110.7s
step  31800 | L_energy=-7.5987e-01 | lam=0.000 | lr=3.64e-04 | 2123.9s
step  32000 | L_energy=-4.7323e-01 | lam=0.000 | lr=3.58e-04 | 2137.1s
step  32200 | L_energy=-6.8397e-01 | lam=0.000 | lr=3.53e-04 | 2150.3s
step  32400 | L_energy=-5.3032e-01 | lam=0.000 | lr=3.48e-04 | 2163.5s
step  32600 | L_energy=-6.9580e-01 | lam=0.000 | lr=3.43e-04 | 2176.8s
step  32800 | L_energy=-3.5705e-01 | lam=0.000 | lr=3.38e-04 | 2190.0s
step  33000 | L_energy=-4.4938e-01 | lam=0.000 | lr=3.33e-04 | 2203.2s
step  33200 | L_energy=-6.4543e-01 | lam=0.000 | lr=3.28e-04 | 2216.4s
step  33400 | L_energy=-5.7699e-01 | lam=0.000 | lr=3.23e-04 | 2229.6s
step  33600 | L_energy=-5.2507e-01 | lam=0.000 | lr=3.19e-04 | 2242.8s
step  33800 | L_energy=-8.4311e-01 | lam=0.000 | lr=3.14e-04 | 2256.0s
step  34000 | L_energy=-8.0258e-01 | lam=0.000 | lr=3.09e-04 | 2269.3s
step  34200 | L_energy=-5.1981e-01 | lam=0.000 | lr=3.04e-04 | 2282.5s
step  34400 | L_energy=-5.8405e-01 | lam=0.000 | lr=2.99e-04 | 2295.7s
step  34600 | L_energy=-7.9571e-01 | lam=0.000 | lr=2.95e-04 | 2309.0s
step  34800 | L_energy=-5.6125e-01 | lam=0.000 | lr=2.90e-04 | 2322.2s
step  35000 | L_energy=-3.4780e-01 | lam=0.000 | lr=2.85e-04 | 2335.5s
step  35200 | L_energy=-4.6447e-01 | lam=0.000 | lr=2.81e-04 | 2348.8s
step  35400 | L_energy=-6.2923e-01 | lam=0.000 | lr=2.76e-04 | 2362.0s
step  35600 | L_energy=-4.2251e-01 | lam=0.000 | lr=2.72e-04 | 2375.3s
step  35800 | L_energy=-5.1606e-01 | lam=0.000 | lr=2.68e-04 | 2388.6s
step  36000 | L_energy=-5.5855e-01 | lam=0.000 | lr=2.63e-04 | 2401.8s
step  36200 | L_energy=-6.2257e-01 | lam=0.000 | lr=2.59e-04 | 2415.1s
step  36400 | L_energy=-7.9837e-01 | lam=0.000 | lr=2.55e-04 | 2428.4s
step  36600 | L_energy=-4.0610e-01 | lam=0.000 | lr=2.50e-04 | 2441.6s
step  36800 | L_energy=-6.9883e-01 | lam=0.000 | lr=2.46e-04 | 2454.9s
step  37000 | L_energy=-6.8901e-01 | lam=0.000 | lr=2.42e-04 | 2468.2s
step  37200 | L_energy=-7.7408e-01 | lam=0.000 | lr=2.38e-04 | 2481.5s
step  37400 | L_energy=-5.9263e-01 | lam=0.000 | lr=2.34e-04 | 2494.7s
step  37600 | L_energy=-5.8958e-01 | lam=0.000 | lr=2.30e-04 | 2508.0s
step  37800 | L_energy=-2.8113e-01 | lam=0.000 | lr=2.26e-04 | 2521.3s
step  38000 | L_energy=-5.2554e-01 | lam=0.000 | lr=2.22e-04 | 2534.5s
step  38200 | L_energy=-6.7725e-01 | lam=0.000 | lr=2.18e-04 | 2547.8s
step  38400 | L_energy=-4.0575e-01 | lam=0.000 | lr=2.14e-04 | 2561.0s
step  38600 | L_energy=-5.0708e-01 | lam=0.000 | lr=2.11e-04 | 2574.3s
step  38800 | L_energy=-7.8186e-01 | lam=0.000 | lr=2.07e-04 | 2587.6s
step  39000 | L_energy=-4.7708e-01 | lam=0.000 | lr=2.03e-04 | 2601.0s
step  39200 | L_energy=-5.5512e-01 | lam=0.000 | lr=2.00e-04 | 2614.3s
step  39400 | L_energy=-6.8343e-01 | lam=0.000 | lr=1.96e-04 | 2627.6s
step  39600 | L_energy=-7.8683e-01 | lam=0.000 | lr=1.93e-04 | 2640.9s
step  39800 | L_energy=-6.5860e-01 | lam=0.000 | lr=1.89e-04 | 2654.1s
step  40000 | L_energy=-6.5836e-01 | lam=0.000 | lr=1.86e-04 | 2667.4s
  → saved checkpoints/ckpt_step040000.pt
step  40200 | L_energy=-6.7893e-01 | lam=0.000 | lr=1.83e-04 | 2680.7s
step  40400 | L_energy=-4.9606e-01 | lam=0.000 | lr=1.79e-04 | 2694.1s
